year,p,gperc,weight,a_pre,sh_tax_dir_pit,sh_tax_cit,sh_tax_ind,sh_tax_dir_wea,sh_tax_dir_wea_prh,sh_tax_dir_wea_prb,sh_tax_dir_wea_wea,sh_tax_soc_tot_soc,sh_tax
2023,0,1,3334231,209,0.0041,0.0083,2.4478,0.0287,0.0173,0.0105,0.0009,0.0793,2.5681
2023,1000,2,3334231,646,0.0044,0.0056,0.8943,0.0251,0.0173,0.0072,0.0006,0.0801,1.0096
2023,2000,3,3334231,1121,0.0048,0.0056,0.3267,0.0251,0.0173,0.0072,0.0006,0.0809,0.4432
2023,3000,4,3334231,1651,0.0053,0.0056,0.2376,0.0251,0.0173,0.0072,0.0006,0.0817,0.3553
2023,4000,5,3334231,2247,0.0058,0.0056,0.1987,0.0251,0.0173,0.0072,0.0006,0.0824,0.3176
2023,5000,6,3334231,2921,0.0063,0.0056,0.1761,0.0251,0.0173,0.0072,0.0006,0.0830,0.2962
2023,6000,7,3334231,3676,0.0070,0.0056,0.1610,0.0251,0.0173,0.0072,0.0006,0.0836,0.2823
2023,7000,8,3334231,4513,0.0077,0.0056,0.1500,0.0251,0.0173,0.0072,0.0006,0.0841,0.2727
2023,8000,9,3334231,5428,0.0085,0.0056,0.1416,0.0251,0.0173,0.0072,0.0006,0.0847,0.2655
2023,9000,10,3334231,6410,0.0093,0.0056,0.1348,0.0251,0.0173,0.0072,0.0006,0.0851,0.2600
2023,10000,11,3334231,7441,0.0101,0.0056,0.1292,0.0251,0.0173,0.0072,0.0006,0.0856,0.2556
2023,11000,12,3334231,8496,0.0109,0.0056,0.1245,0.0251,0.0173,0.0072,0.0006,0.0860,0.2521
2023,12000,13,3334231,9553,0.0116,0.0056,0.1204,0.0251,0.0173,0.0072,0.0006,0.0864,0.2491
2023,13000,14,3334231,10586,0.0123,0.0056,0.1168,0.0251,0.0173,0.0072,0.0006,0.0867,0.2466
2023,14000,15,3334231,11578,0.0130,0.0056,0.1137,0.0251,0.0173,0.0072,0.0006,0.0870,0.2445
2023,15000,16,3334231,12510,0.0137,0.0056,0.1109,0.0251,0.0173,0.0072,0.0006,0.0873,0.2427
2023,16000,17,3334231,13370,0.0144,0.0056,0.1084,0.0251,0.0173,0.0072,0.0006,0.0879,0.2413
2023,17000,18,3334231,14148,0.0150,0.0056,0.1060,0.0251,0.0173,0.0072,0.0006,0.0884,0.2403
2023,18000,19,3334231,14843,0.0157,0.0056,0.1039,0.0251,0.0173,0.0072,0.0006,0.0893,0.2397
2023,19000,20,3334231,15459,0.0164,0.0056,0.1020,0.0251,0.0173,0.0072,0.0006,0.0897,0.2388
2023,20000,21,3334231,16006,0.0170,0.0055,0.1002,0.0249,0.0173,0.0070,0.0006,0.0899,0.2376
2023,21000,22,3334231,16503,0.0177,0.0056,0.0985,0.0250,0.0173,0.0071,0.0006,0.0910,0.2378
2023,22000,23,3334231,16970,0.0184,0.0056,0.0970,0.0251,0.0173,0.0072,0.0006,0.0915,0.2376
2023,23000,24,3334231,17426,0.0191,0.0057,0.0955,0.0252,0.0173,0.0073,0.0006,0.0913,0.2368
2023,24000,25,3334231,17888,0.0198,0.0059,0.0941,0.0255,0.0173,0.0075,0.0006,0.0923,0.2376
2023,25000,26,3334231,18371,0.0205,0.0059,0.0928,0.0256,0.0173,0.0076,0.0006,0.0925,0.2373
2023,26000,27,3334231,18890,0.0212,0.0060,0.0916,0.0256,0.0173,0.0076,0.0006,0.0931,0.2375
2023,27000,28,3334231,19453,0.0220,0.0061,0.0904,0.0258,0.0173,0.0078,0.0006,0.0935,0.2378
2023,28000,29,3334231,20068,0.0228,0.0062,0.0893,0.0259,0.0173,0.0079,0.0007,0.0947,0.2389
2023,29000,30,3334231,20736,0.0237,0.0064,0.0882,0.0261,0.0173,0.0081,0.0007,0.0953,0.2397
2023,30000,31,3334231,21454,0.0246,0.0065,0.0872,0.0263,0.0173,0.0083,0.0007,0.0945,0.2391
2023,31000,32,3334231,22213,0.0255,0.0065,0.0862,0.0263,0.0173,0.0083,0.0007,0.0959,0.2404
2023,32000,33,3334231,23004,0.0265,0.0064,0.0853,0.0261,0.0173,0.0081,0.0007,0.0953,0.2395
2023,33000,34,3334231,23817,0.0275,0.0064,0.0844,0.0261,0.0173,0.0081,0.0007,0.0956,0.2399
2023,34000,35,3334231,24643,0.0285,0.0064,0.0835,0.0262,0.0173,0.0082,0.0007,0.0961,0.2407
2023,35000,36,3334231,25475,0.0296,0.0063,0.0826,0.0260,0.0173,0.0080,0.0007,0.0960,0.2405
