year,N,conc_top0_1,conc_top1,conc_top10,conc_p90_p99,conc_p50_p90,conc_bottom50
2001,10000,17.87,53.96,89.78,35.82,9.57,0.65
2002,10000,18.31,52.91,89.44,36.53,9.80,0.76
2003,10000,18.56,54.18,90.02,35.84,9.20,0.78
2004,10000,17.39,52.05,88.78,36.74,10.35,0.87
2005,10000,16.85,50.33,88.61,38.28,10.53,0.87
2006,10000,18.11,52.83,89.41,36.58,9.95,0.64
2007,10000,16.20,49.99,89.47,39.48,9.97,0.56
2008,10000,19.85,55.10,92.86,37.76,6.94,0.20
2009,10000,24.22,62.45,93.91,31.46,5.99,0.10
2010,10000,16.09,53.38,91.27,37.89,8.47,0.25
2011,10000,22.02,56.09,91.56,35.47,8.16,0.28
2012,10000,17.78,52.87,89.95,37.08,9.63,0.42
2013,10000,20.05,56.68,90.96,34.28,8.67,0.37
2014,10000,15.00,48.53,88.96,40.42,10.57,0.47
2015,10000,13.59,47.83,88.36,40.52,11.21,0.43
2016,10000,13.77,48.27,88.46,40.19,11.10,0.44
2017,10000,16.12,48.32,88.61,40.29,11.03,0.37
2018,10000,13.32,45.54,88.38,42.84,11.29,0.33
2019,10000,24.34,54.78,90.74,35.96,9.01,0.25
2020,10000,24.63,56.51,91.96,35.45,7.83,0.21
2021,10000,26.44,57.46,91.72,34.26,8.07,0.22
2022,10000,17.59,49.46,90.24,40.78,9.57,0.19
2023,10000,25.73,56.67,92.24,35.57,7.61,0.15
2024,10000,29.54,60.44,93.03,32.60,6.83,0.14
