year,avg_profitP50_90,avg_profitP90_99,avg_profitTop1
2000,26036262,462165728,6310697984
2001,24342262,404773280,5483388928
2002,25662884,425189376,5538518016
2003,30778864,532719968,7243014144
2004,38299668,604364864,7700412928
2005,44383532,717268864,8481684992
2006,46339784,757092672,9833312256
2007,40396064,710752192,8093958656
2008,22092316,533894144,7005945856
2009,21401236,499280128,8914118656
2010,33042552,656393152,8315409408
2011,39195668,757404864,10769041408
2012,44065356,754264384,9670983680
2013,47797548,840337600,12494083072
2014,53413900,907721536,9801001984
2015,64612312,1037535040,11013906432
2016,65482344,1053279360,11377463296
2017,72018672,1169272192,12610009088
2018,77941792,1314699776,12569261056
2019,77738752,1378638848,18888040448
2020,55786152,1121853696,16082861056
2021,95446232,1801523456,27170832384
2022,74931960,1418847616,15477031936
2023,69465976,1442927872,20675655680
2024,78202984,1658426112,27651256320
