year,n_top10,n_next90,n_next400,meanETR_top10,meanETR_next90,meanETR_next400,impliedETR_top10,impliedETR_next90,impliedETR_next400,pbt_top10,pbt_next90,pbt_next400,taxpaid_top10,taxpaid_next90,taxpaid_next400
2001,10,90,400,0.3508,0.3489,0.3800,0.3511,0.3474,0.3902,278621685760,538707323648,419039454400,978263872,1871387078,1635284890
2002,10,90,400,0.3101,0.4620,0.4679,0.3103,0.4384,0.4914,277895346176,566391852288,466141157184,862179492,2482779073,2290477547
2003,10,90,400,0.2870,0.3047,0.3265,0.2815,0.3059,0.3323,345299537920,667918629888,523212811584,971866064,2043154216,1738646831
2004,10,90,400,0.3254,0.3075,0.3457,0.3260,0.3015,0.3467,373674620928,727732464896,580378955456,1218131160,2194186227,2012330407
2005,10,90,400,0.3325,0.3014,0.3004,0.3379,0.2962,0.3031,428566319104,789683988992,679588321920,1448102856,2339138958,2059530677
2006,10,90,400,0.2726,0.2685,0.2731,0.3035,0.2637,0.2840,473636790272,868420504064,713207085824,1437573958,2289713497,2025184198
2007,10,90,400,0.3486,0.2722,0.2747,0.3651,0.2832,0.2827,413027676160,746279693568,653353392768,1507768080,2113309670,1847051271
2008,10,90,400,0.2848,0.2652,0.3179,0.3458,0.2703,0.3230,382484464640,603949930752,528373654560,1322553602,1632420949,1706740754
2009,10,90,400,0.3038,0.2999,0.3025,0.2251,0.2692,0.3056,438747031552,704534322688,488603289312,987626422,1896582109,1492935972
2010,10,90,400,0.2833,0.2846,0.2852,0.3101,0.2849,0.2934,361003569152,802153518080,617067567552,1119586936,2285533627,1810351342
2011,10,90,400,0.2445,0.2703,0.2588,0.2390,0.2655,0.2669,547696259072,879838842880,703440045312,1309254408,2335685307,1877742839
2012,10,90,400,0.4614,0.3056,0.2793,0.5461,0.2859,0.2667,619717179392,883170795264,699172967808,3384031152,2525398301,1865040429
2013,10,90,400,0.3546,0.2510,0.2508,0.4234,0.2169,0.2349,572423897088,1106364276224,767761830208,2423754152,2399533564,1803260994
2014,10,90,400,0.4381,0.2864,0.2835,0.5468,0.2876,0.2787,593391159296,976249817600,825852252288,3244390144,2807206659,2301781921
2015,10,90,400,0.4649,0.2582,0.2728,0.6004,0.2695,0.2841,590770868224,1083032961536,951452580672,3546803592,2918249699,2702709090
2016,10,90,400,0.4248,0.1960,0.2814,0.5288,0.2200,0.2769,549669445632,1098155436032,954479212160,2906745888,2416045435,2642520001
2017,10,90,400,0.4523,0.1437,0.2530,0.5223,0.1663,0.2582,513925345280,1111653283840,1011904668544,2684060072,1848965280,2612904319
2018,10,90,400,0.4059,0.2389,0.1663,0.4235,0.2456,0.1467,522298404864,1136267759104,1040545545088,2211680616,2791126793,1526691200
2019,10,90,400,0.3345,-0.1569,0.1248,0.3176,-0.2095,0.1345,600676134912,1146599501824,1107374607616,1907769856,-2401585652,1489037087
2020,10,90,400,0.3361,-0.0228,0.0065,0.4015,-0.1248,0.0440,581641213952,991794600448,864967886144,2335561960,-1237383452,380561984
2021,10,90,400,0.3348,-0.2971,-0.0360,0.3573,-0.2505,-0.0022,867337936896,1439638845952,1309581911168,3098916780,-3606172880,-28530911
2022,10,90,400,0.2502,0.6181,0.3749,0.2468,0.6685,0.3620,690658488320,1282925324800,1163361633408,1704666684,8575791047,4211089951
2023,10,90,400,0.1631,-0.0155,0.0888,0.1603,-0.1181,0.1128,790279131136,1151341664768,1094208516864,1267153680,-1359417939,1234078357
2024,10,90,400,0.1385,-0.2090,-0.0302,0.1418,-0.3157,-0.0269,968846528512,1250663228928,1166889875584,1373571242,-3948202582,-314138227
