year,impliedETR_top10,impliedETR_next90,impliedETR_next400
2001,0.3511,0.3474,0.3902
2002,0.3103,0.4384,0.4914
2003,0.2815,0.3059,0.3323
2004,0.3260,0.3015,0.3467
2005,0.3379,0.2962,0.3031
2006,0.3035,0.2637,0.2840
2007,0.3651,0.2832,0.2827
2008,0.3458,0.2703,0.3230
2009,0.2251,0.2692,0.3056
2010,0.3101,0.2849,0.2934
2011,0.2390,0.2655,0.2669
2012,0.5461,0.2859,0.2667
2013,0.4234,0.2169,0.2349
2014,0.5468,0.2876,0.2787
2015,0.6004,0.2695,0.2841
2016,0.5288,0.2200,0.2769
2017,0.5223,0.1663,0.2582
2018,0.4235,0.2456,0.1467
2019,0.3176,-0.2095,0.1345
2020,0.4015,-0.1248,0.0440
2021,0.3573,-0.2505,-0.0022
2022,0.2468,0.6685,0.3620
2023,0.1603,-0.1181,0.1128
2024,0.1418,-0.3157,-0.0269
