year,etr5_ALPHABET,etr5_AMAZON,etr5_APPLE,etr5_JJ,etr5_META,etr5_MICROSOFT,etr5_NETFLIX,etr5_NVIDIA,etr5_ORACLE,etr5_PFIZER,etr5_TESLA
2001,,,,,,35.54,,,36.59,21.00,
2002,,,,,,34.89,,22.23,36.34,20.01,
2003,,,,28.75,,33.80,,28.36,35.12,17.01,
2004,,,,,,33.45,,25.76,34.55,14.33,
2005,43.29,,,,,31.89,,22.77,32.74,12.92,
2006,41.82,,26.87,,,30.84,,19.49,31.58,-1.16,
2007,37.78,7.55,27.85,,,30.45,-64.91,15.34,30.35,-3.19,
2008,29.43,11.33,29.17,,,29.22,-57.54,9.70,29.73,4.16,
2009,26.15,28.86,29.90,,,27.92,-49.76,,29.04,4.93,
2010,24.08,30.25,29.48,,,27.66,39.07,,28.40,2.45,
2011,23.63,26.82,28.44,,,24.96,38.71,,27.48,14.70,
2012,23.60,42.68,27.43,,,23.71,39.46,,26.36,6.33,
2013,22.03,46.16,26.34,,45.11,22.39,38.95,,24.73,-4.96,
2014,21.21,,25.21,19.18,51.16,21.22,35.73,,23.02,-3.71,
2015,20.32,,25.61,,51.28,23.05,30.46,12.86,22.42,-1.80,
2016,19.99,,25.87,,46.75,23.52,28.71,15.01,21.84,-1.64,
2017,25.52,,25.75,,33.42,21.72,16.93,15.03,21.06,-10.36,
2018,23.93,,24.19,,26.88,28.80,10.32,12.96,31.01,-44.41,
2019,22.98,29.80,22.15,,23.96,26.70,7.49,8.95,28.93,-57.82,
2020,22.87,19.76,19.77,,18.30,23.18,7.51,6.83,27.61,-68.33,
2021,22.24,14.45,17.31,,17.97,21.97,4.33,3.70,22.02,-69.14,
2022,14.73,,15.64,,17.34,21.64,10.29,1.58,20.64,-52.57,
2023,15.12,,14.92,,18.29,14.52,12.61,-0.25,7.78,-30.58,
2024,15.74,,16.55,,15.54,16.13,13.24,3.41,8.02,-22.26,6.34
