year,N_all,N_know,N_trad,total_intang_know,total_intang_trad,avg_intang_know,avg_intang_trad
1991,2621,1005,1268,109627902777,138344201545,109082490,109104260
1992,2946,1157,1390,112289393194,141523371914,97052198,101815375
1993,3338,1320,1565,96462957850,157721931154,73077998,100780787
1994,3841,1584,1738,141363430140,173195824188,89244590,99652373
1995,5113,2104,2282,307279135707,374834737255,146045217,164257115
1996,5832,2415,2603,443092349496,464879473223,183475093,178593728
1997,6183,2624,2653,545234253058,573463031870,207787444,216156439
1998,6419,2753,2721,776940937009,711354242043,282216105,261431180
1999,6709,2902,2799,1225788364784,855512404632,422394337,305649305
2000,6837,2931,2817,1871483303647,1036811160065,638513580,368055080
2001,6494,2745,2683,1842362882906,1136533160120,671170449,423605352
2002,6276,2643,2609,1613752243562,1161489466029,610575953,445185690
2003,6086,2552,2527,1743688696832,1186702883302,683263596,469609372
2004,6082,2547,2514,1699616104094,1300186059392,667301179,517178226
2005,6165,2545,2582,1705632256898,1430482639101,670189492,554021162
2006,6306,2546,2681,2059103854989,1626810905982,808760352,606792580
2007,6296,2483,2726,2163570940569,1837131001389,871353581,673929201
2008,5858,2272,2549,2014131831760,1612095680404,886501687,632442401
2009,5748,2174,2547,2178223717657,1761313171650,1001942832,691524606
2010,5635,2123,2506,2244789131975,1955439707892,1057366525,780303156
2011,5524,2055,2468,2396183114833,2085080283142,1166025847,844846144
2012,5443,2015,2408,2487502786418,2145176612982,1234492698,890854075
2013,5262,1972,2288,2720339543274,2310951815154,1379482527,1010031388
2014,5037,1888,2178,2740384235563,2177175614231,1451474701,999621494
2015,4857,1845,2074,2980660632594,2229020831315,1615534218,1074744856
2016,4662,1772,2002,3183150718078,2429785783318,1796360450,1213679212
2017,4513,1737,1928,3639598500981,2571906754199,2095335925,1333976532
2018,4497,1791,1887,3717258618572,2658500506297,2075521283,1408850295
2019,4531,1862,1863,4004883594451,2597807257955,2150850480,1394421502
2020,4453,1884,1774,3977023318129,2472656635250,2110946560,1393831249
2021,4519,1930,1793,4059969350452,2571520223428,2103611062,1434199790
2022,4360,1861,1745,4022195740622,2420399844880,2161308834,1387048622
2023,4083,1705,1650,3885673665957,2335162298973,2278987487,1415249878
2024,3766,1544,1532,3767921859100,2220987679189,2440363898,1449730861
