year,valuep99_999p100_USD23,,,,,,,,,,,,,
2001,2049852928,,,,,,,,,,,,,
2002,1822131584,,,,,,,,,,,,,
2003,1864882432,,,,,,,,,,,,,
2004,1921074944,,,,,,,,,,,,,
2005,2009101184,,,,,,,,,,,,,
2006,2025438464,,,,,,,,,,,,,
2007,2157390848,,,,,,,,,,,,,
2008,2252351232,,,,,,,,,,,,,
2009,1942597632,,,,,,,,,,,,,
2010,1943201024,,,,,,,,,,,,,
2011,1869846400,,,,,,,,,,,,,
2012,2154768896,,,,,,,,,,,,,
2013,2586725120,,,,,,,,,,,,,
2014,2760782848,,,,,,,,,,,,,
2015,2769609728,,,,,,,,,,,,,
2016,2775789312,,,,,,,,,,,,,
2017,2875697920,,,,,,,,,,,,,
2018,2667180800,,,,,,,,,,,,,
2019,2533305344,,,,,,,,,,,,,
2020,2900794624,,,,,,,,,,,,,
2021,3313024512,,,,,,,,,,,,,
2022,2802225408,,,,,,,,,,,,,
2023,2653961216,,,,,,,,,,,,,
,,,,,,,,,,,,,,
