year,p,gperc,weight,a_pre,sh_tax_dir_pit,sh_tax_cit,sh_tax_ind,sh_tax_dir_wea,sh_tax_dir_wea_prh,sh_tax_dir_wea_prb,sh_tax_dir_wea_wea,sh_tax_soc_tot_soc,sh_tax
1980,0,1,2277260,128,0.0148,0.0352,0.0936,0.0800,0.0123,0.0114,0.0024,0.0563,0.2798
1980,1000,2,2277260,387,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,2000,3,2277260,645,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,3000,4,2277260,899,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,4000,5,2277260,1145,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,5000,6,2277260,1378,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,6000,7,2277260,1596,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,7000,8,2277260,1798,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,8000,9,2277260,1982,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,9000,10,2277260,2150,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,10000,11,2277260,2302,0.0148,0.0352,0.0936,0.0800,0.0123,0.0078,0.0017,0.0563,0.2798
1980,11000,12,2277260,2442,0.0201,0.0355,0.0807,0.0738,0.0123,0.0078,0.0017,0.0488,0.2589
1980,12000,13,2277260,2573,0.0144,0.0269,0.0925,0.0546,0.0123,0.0078,0.0017,0.0552,0.2436
1980,13000,14,2277260,2699,0.0161,0.0242,0.0889,0.0566,0.0123,0.0078,0.0017,0.0505,0.2363
1980,14000,15,2277260,2822,0.0180,0.0293,0.0817,0.0596,0.0123,0.0078,0.0017,0.0474,0.2361
1980,15000,16,2277260,2945,0.0192,0.0275,0.0859,0.0547,0.0123,0.0078,0.0017,0.0472,0.2346
1980,16000,17,2277260,3071,0.0173,0.0256,0.0788,0.0532,0.0123,0.0078,0.0017,0.0446,0.2195
1980,17000,18,2277260,3200,0.0155,0.0208,0.0841,0.0446,0.0123,0.0078,0.0017,0.0456,0.2106
1980,18000,19,2277260,3335,0.0152,0.0223,0.0863,0.0470,0.0123,0.0078,0.0017,0.0464,0.2172
1980,19000,20,2277260,3476,0.0168,0.0198,0.0861,0.0410,0.0123,0.0078,0.0017,0.0483,0.2120
