firm_id,fyear,tic,merge_status,matched,sp500_member,sector,knowledge_sector,comp_pi,orb_pi,comp_revt,orb_revt,comp_txfed,comp_txfo,comp_txc,comp_txt,etr_current,etr_federal,etr_foreign,etr_total,post2022,post_tcja,knowledge_post2022,knowledge_post_tcja,costat,curcd,datafmt,indfmt,consol,cik,state,comp_gdwl,comp_intan,intano,tlcf,txdb,txdba,txdbca,txdbcl,txditc,txndb,txndba,txndbl,txndbr,txp,txr,comp_gp,comp_pidom,comp_pifo,comp_txdfed,comp_txdfo,comp_txdi,txds,txo,txs,utxfed,tdc,txach,txdc,comp_txpd,acqgdwl,acqintan,comp_emp,nace4_prim,sic,sic_name,orb_ni,orb_cf,orb_at,orb_profmarg,orb_mktcap,orb_name2,orb_intan,orb_cash,orb_rd,orb_emp,orb_tax,orb_taxrate,nace4_sec,nace_4d,nace_2d,CPI,big_sectors,tech,pharma,other_knowledge,commodities_retail,industry,other_services,traditional_sector,log_revenue,rev_per_emp,etr_total_pct,etr_current_pct,etr_federal_pct,etr_foreign_pct,sp500_pre,sp500_x_post
id00001,2020,AAL,Matched,1,1,Other Services,0.0,-11453.0,-11453000000.0,17337.0,17337000000.0,0.0,0.0,0.0,-2568.0,,,,,0,1,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6120.0,2029.0,21500.0,9.0,3239.0,0.0,0.0,9.0,3230.0,10462.0,7232.0,0.0,0.0,0.0,-4953.0,-11453.0,,-2335.0,0.0,-2568.0,-233.0,0.0,0.0,,,0.0,-2568.0,6.0,,,102.7,5110,4512.0,"Air Transportation, Scheduled",-8885000000.0,-4868000000.0,62008000000.0,-66.06,9540.83,American Airlines Group Inc.,6120000000.0,6864000000.0,,102700.0,-2568000000.0,0.22422072,6421.0,5110.0,51.0,258.8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.760598,168.81207,,,,,1,1
id00001,2022,AAL,Matched,1,1,Other Services,0.0,186.0,186000000.0,48971.0,48971000000.0,,,,59.0,,,,0.3172043,1,1,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6150.0,2059.0,26500.0,10.0,3099.0,0.0,0.0,10.0,3089.0,9813.0,6724.0,0.0,0.0,0.0,11340.0,186.0,,59.0,0.0,65.0,6.0,0.0,,,,0.0,65.0,2.0,,,129.7,5110,4512.0,"Air Transportation, Scheduled",127000000.0,2617000000.0,64716000000.0,0.38,8266.74,American Airlines Group Inc.,6150000000.0,8965000000.0,,129700.0,59000000.0,0.3172043,6421.0,5110.0,51.0,292.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.798984,377.57132,31.72042965888977,,,,1,1
id00001,2021,AAL,Matched,1,1,Other Services,0.0,-2548.0,-2548000000.0,29882.0,29882000000.0,0.0,0.0,0.0,-555.0,,,,,0,1,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6079.0,1988.0,26200.0,9.0,3556.0,0.0,0.0,9.0,3547.0,10345.0,6798.0,0.0,0.0,0.0,1913.0,-2548.0,,-508.0,0.0,-555.0,-47.0,0.0,0.0,,,0.0,-555.0,3.0,,,123.4,5110,4512.0,"Air Transportation, Scheduled",-1993000000.0,484000000.0,66467000000.0,-8.53,11629.36,American Airlines Group Inc.,6079000000.0,12431000000.0,,123400.0,-555000000.0,0.2178179,6421.0,5110.0,51.0,271.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.305012,242.1556,,,,,1,1
id00001,2023,AAL,Matched,1,1,Other Services,0.0,1121.0,1121000000.0,52788.0,52788000000.0,,,,299.0,,,,0.26672614,1,1,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6142.0,2051.0,23900.0,9.0,2888.0,0.0,0.0,9.0,2879.0,9442.0,6563.0,0.0,0.0,0.0,14072.0,1121.0,,268.0,0.0,299.0,31.0,0.0,,,,0.0,299.0,6.0,,,132.1,5110,4512.0,"Air Transportation, Scheduled",822000000.0,3129000000.0,63058000000.0,2.12,8979.65,American Airlines Group Inc.,6142000000.0,7578000000.0,,132100.0,299000000.0,0.26672614,6421.0,5110.0,51.0,304.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.874039,399.60635,26.672613620758057,,,,1,1
id00001,2015,AAL,Matched,1,1,Other Services,0.0,4616.0,4616000000.0,40990.0,40990000000.0,,,,-2994.0,,,,0.0,0,0,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6340.0,2249.0,12000.0,0.0,2477.0,0.0,0.0,0.0,2477.0,7901.0,5424.0,0.0,0.0,0.0,15574.0,,,,,-3014.0,,0.0,,,,0.0,-3014.0,20.0,,,118.5,5110,4512.0,"Air Transportation, Scheduled",7610000000.0,9219000000.0,48415000000.0,11.26,26694.29,American Airlines Group Inc.,6340000000.0,6254000000.0,,118500.0,-2994000000.0,-0.6486135,6421.0,5110.0,51.0,237.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.621083,345.90717,0.0,,,,1,0
id00001,2017,AAL,Matched,1,1,Other Services,0.0,3084.0,3395000000.0,42207.0,42622000000.0,0.0,0.0,24.0,1165.0,0.007782101,0.0,0.0,0.37775615,0,0,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6294.0,2203.0,13400.0,33.0,427.0,0.0,0.0,33.0,394.0,5718.0,5324.0,0.0,0.0,0.0,13945.0,3084.0,,1085.0,0.0,1141.0,56.0,0.0,24.0,,,0.0,1141.0,20.0,,,126.6,5110,4512.0,"Air Transportation, Scheduled",1282000000.0,3526000000.0,52785000000.0,7.97,24896.31,American Airlines Group Inc.,6294000000.0,5066000000.0,,126600.0,2113000000.0,0.62238586,6421.0,5110.0,51.0,245.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.650341,333.38864,37.775614857673645,0.7782101165503263,0.0,0.0,1,0
id00001,2016,AAL,Matched,1,1,Other Services,0.0,4299.0,4152000000.0,40180.0,40142000000.0,,,,1623.0,,,,0.37752965,0,0,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6264.0,2173.0,14200.0,11.0,1498.0,0.0,0.0,11.0,1487.0,9048.0,7561.0,0.0,0.0,0.0,14485.0,,,,,1611.0,,0.0,,,,0.0,1611.0,16.0,,,122.3,5110,4512.0,"Air Transportation, Scheduled",2584000000.0,4560000000.0,51274000000.0,10.34,24191.26,American Airlines Group Inc.,6264000000.0,6359000000.0,,122300.0,1568000000.0,0.37764934,6421.0,5110.0,51.0,240.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.601125,328.53638,37.752965092659,,,,1,0
id00001,2019,AAL,Matched,1,1,Other Services,0.0,2256.0,2256000000.0,45768.0,45768000000.0,0.0,8.0,10.0,570.0,0.004432624,0.0,0.0035460992,0.2526596,0,1,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6175.0,2084.0,12100.0,29.0,645.0,0.0,0.0,29.0,616.0,8134.0,7518.0,0.0,0.0,0.0,13741.0,2256.0,,498.0,0.0,560.0,62.0,0.0,2.0,,,0.0,560.0,8.0,,,133.7,5110,4512.0,"Air Transportation, Scheduled",1686000000.0,4619000000.0,59995000000.0,4.93,12563.5,American Airlines Group Inc.,6175000000.0,3826000000.0,,133000.0,570000000.0,0.2526596,6421.0,5110.0,51.0,255.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.73134,342.31863,25.26595890522003,0.44326242059469223,0.0,0.3546099178493023,1,1
id00001,2018,AAL,Matched,1,1,Other Services,0.0,1884.0,1884000000.0,44541.0,44541000000.0,0.0,29.0,32.0,472.0,0.016985139,0.0,0.015392781,0.25053078,0,1,0.0,0.0,A,USD,STD,INDL,C,6201.0,TX,4091.0,6228.0,2137.0,13400.0,10.0,1145.0,0.0,0.0,10.0,1135.0,8822.0,7687.0,0.0,0.0,0.0,13176.0,1884.0,,390.0,0.0,440.0,50.0,0.0,3.0,,,0.0,440.0,18.0,,,128.9,5110,4512.0,"Air Transportation, Scheduled",1412000000.0,3957000000.0,60580000000.0,4.23,14789.27,American Airlines Group Inc.,6228000000.0,4760000000.0,,128900.0,472000000.0,0.25053078,6421.0,5110.0,51.0,251.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.704165,345.54697,25.053077936172485,1.698513887822628,0.0,1.5392781235277653,1,1
id00002,2013,PNW,Matched,1,1,Other Services,0.0,670.557,670557000.0,3454.628,3454628000.0,-81.784,,-71.247,230.591,0.0,0.0,,0.3438798,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,,,,2351.882,0.0,91.152,0.0,2504.243,-2260.73,951.242,3211.972,0.0,130.998,,1262.031,,,,,301.838,,0.0,10.537,-81.784,249.296,,301.838,18.537,,,6.433,3511,4911.0,Electric Services,406074000.0,898396000.0,13508686000.0,19.41,5823.58,Pinnacle West Capital Corp,157689000.0,9526000.0,,81.0,264483000.0,0.39442286,6421.0,3511.0,35.0,233.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.14747,537.0166,34.38797891139984,0.0,0.0,,1,0
